# JLPT N4 單字   格式： 漢字 | 假名 | 中文釋義 | 詞性 | 例句 | 例句假名 | 例句中譯

# --- 名詞：生活・社會 ---
用事 | ようじ | 事情、要事 | 名詞 | 今日は用事があります。 | きょうはようじがあります。 | 今天有事。
逃げる | にげる | 逃跑 | 動詞 | 犬が庭から逃げました。 | いぬがにわからにげました。 | 狗從院子跑掉了。
捕まえる | つかまえる | 抓住 | 動詞 | 警察が泥棒を捕まえました。 | けいさつがどろぼうをつかまえました。 | 警察抓到了小偷。
隠す | かくす | 隱藏 | 動詞 | プレゼントを引き出しに隠します。 | プレゼントをひきだしにかくします。 | 把禮物藏在抽屜裡。
隠れる | かくれる | 躲藏 | 動詞 | 子供が木の後ろに隠れています。 | こどもがきのうしろにかくれています。 | 小孩躲在樹後面。
尋ねる | たずねる | 詢問 | 動詞 | 駅で道を尋ねました。 | えきでみちをたずねました。 | 在車站問了路。
願う | ねがう | 祈願；請求 | 動詞 | 家族の健康を願います。 | かぞくのけんこうをねがいます。 | 祈求家人健康。
祈る | いのる | 祈禱 | 動詞 | 試験の成功を祈っています。 | しけんのせいこうをいのっています。 | 祝你考試順利。
頼る | たよる | 依靠 | 動詞 | 困った時は友達に頼ります。 | こまったときはともだちにたよります。 | 有困難時依靠朋友。
任せる | まかせる | 交託；託付 | 動詞 | この仕事はあなたに任せます。 | このしごとはあなたにまかせます。 | 這個工作交給你。
勧める | すすめる | 推薦；勸 | 動詞 | 店員がこの本を勧めてくれました。 | てんいんがこのほんをすすめてくれました。 | 店員推薦了這本書。
通る | とおる | 通過；經過 | 動詞 | 毎朝、この道を通ります。 | まいあさ、このみちをとおります。 | 每天早上走這條路。
越える | こえる | 越過；超過 | 動詞 | 山を越えると海が見えます。 | やまをこえるとうみがみえます。 | 翻過山就能看到海。
加える | くわえる | 添加 | 動詞 | スープに塩を少し加えます。 | スープにしおをすこしくわえます。 | 在湯裡加一點鹽。
抜く | ぬく | 拔；抽出 | 動詞 | 歯を一本抜きました。 | はをいっぽんぬきました。 | 拔了一顆牙。
差す | さす | 撐（傘） | 動詞 | 雨なので傘を差します。 | あめなのでかさをさします。 | 下雨所以撐傘。
曲げる | まげる | 彎曲 | 動詞 | 膝を曲げて座ります。 | ひざをまげてすわります。 | 彎著膝蓋坐。
立てる | たてる | 立起；制定 | 動詞 | 旅行の計画を立てます。 | りょこうのけいかくをたてます。 | 制定旅行計畫。
焼く | やく | 烤；煎 | 動詞 | 魚を焼いて食べます。 | さかなをやいてたべます。 | 把魚烤來吃。
冷める | さめる | 變涼 | 動詞 | スープが冷めてしまいました。 | スープがさめてしまいました。 | 湯冷掉了。
飾る | かざる | 裝飾 | 動詞 | 部屋に花を飾ります。 | へやにはなをかざります。 | 在房間裡擺花裝飾。
干す | ほす | 曬 | 動詞 | 晴れたので布団を干します。 | はれたのでふとんをほします。 | 天晴了所以曬棉被。
訪れる | おとずれる | 造訪 | 動詞 | 毎年、多くの人がこの町を訪れます。 | まいとし、おおくのひとがこのまちをおとずれます。 | 每年很多人造訪這個城鎮。
出かける | でかける | 出門 | 動詞 | 今から買い物に出かけます。 | いまからかいものにでかけます。 | 現在要出門買東西。
見つかる | みつかる | 被找到 | 動詞 | なくした鍵が見つかりました。 | なくしたかぎがみつかりました。 | 弄丟的鑰匙找到了。
間違う | まちがう | 錯誤 | 動詞 | 答えが一つ間違っていました。 | こたえがひとつまちがっていました。 | 有一題答錯了。
足す | たす | 加上 | 動詞 | 三に五を足すと八です。 | さんにごをたすとはちです。 | 三加五等於八。

# --- 名詞 ---
場合 | ばあい | 場合；情況 | 名詞 | 雨の場合は中止します。 | あめのばあいはちゅうしします。 | 下雨的話就取消。
許可 | きょか | 許可 | 名詞 | 写真を撮る許可をもらいました。 | しゃしんをとるきょかをもらいました。 | 得到了拍照的許可。
免許 | めんきょ | 執照 | 名詞 | 去年、車の免許を取りました。 | きょねん、くるまのめんきょをとりました。 | 去年考到了駕照。
観光 | かんこう | 觀光 | 名詞 | 京都へ観光に行きます。 | きょうとへかんこうにいきます。 | 去京都觀光。
名所 | めいしょ | 名勝 | 名詞 | この町には名所がたくさんあります。 | このまちにはめいしょがたくさんあります。 | 這個城鎮有很多名勝。
温泉 | おんせん | 溫泉 | 名詞 | 週末、温泉に入りに行きます。 | しゅうまつ、おんせんにはいりにいきます。 | 週末去泡溫泉。
旅館 | りょかん | 日式旅館 | 名詞 | 古い旅館に泊まりました。 | ふるいりょかんにとまりました。 | 住了一家老旅館。
指定席 | していせき | 對號座 | 名詞 | 指定席の切符を買いました。 | していせきのきっぷをかいました。 | 買了對號座的票。
自由席 | じゆうせき | 自由座 | 名詞 | 自由席はとても混んでいました。 | じゆうせきはとてもこんでいました。 | 自由座非常擠。
満員 | まんいん | 客滿 | 名詞 | 朝の電車はいつも満員です。 | あさのでんしゃはいつもまんいんです。 | 早上的電車總是客滿。
渋滞 | じゅうたい | 塞車 | 名詞 | 事故で高速道路が渋滞しています。 | じこでこうそくどうろがじゅうたいしています。 | 因事故高速公路塞車。
保険 | ほけん | 保險 | 名詞 | 旅行の前に保険に入ります。 | りょこうのまえにほけんにはいります。 | 旅行前投保。
天気予報 | てんきよほう | 天氣預報 | 名詞 | 天気予報では明日は晴れです。 | てんきよほうではあしたははれです。 | 天氣預報說明天放晴。
気温 | きおん | 氣溫 | 名詞 | 今日の気温は三十度です。 | きょうのきおんはさんじゅうどです。 | 今天氣溫三十度。
雷 | かみなり | 雷 | 名詞 | 遠くで雷が鳴っています。 | とおくでかみなりがなっています。 | 遠處在打雷。
虹 | にじ | 彩虹 | 名詞 | 雨の後、虹が出ました。 | あめのあと、にじがでました。 | 雨後出現了彩虹。
梅雨 | つゆ | 梅雨 | 名詞 | 六月は梅雨で毎日雨です。 | ろくがつはつゆでまいにちあめです。 | 六月是梅雨季每天下雨。
湿度 | しつど | 濕度 | 名詞 | 夏は湿度が高くて蒸し暑いです。 | なつはしつどがたかくてむしあついです。 | 夏天濕度高很悶熱。
感謝 | かんしゃ | 感謝 | 名詞 | 皆さんに感謝しています。 | みなさんにかんしゃしています。 | 我很感謝大家。
満足 | まんぞく | 滿足 | 名詞 | 今の生活に満足しています。 | いまのせいかつにまんぞくしています。 | 對現在的生活很滿足。
後悔 | こうかい | 後悔 | 名詞 | あの時の選択を後悔しています。 | あのときのせんたくをこうかいしています。 | 後悔當時的選擇。
迷惑 | めいわく | 麻煩；困擾 | 名詞 | 大きい音は近所の迷惑になります。 | おおきいおとはきんじょのめいわくになります。 | 大聲會造成鄰居的困擾。
緊張 | きんちょう | 緊張 | 名詞 | 発表の前は緊張します。 | はっぴょうのまえはきんちょうします。 | 發表前會緊張。
退屈 | たいくつ | 無聊 | 名詞 | 雨の日は家で退屈します。 | あめのひはいえでたいくつします。 | 下雨天在家很無聊。
苦労 | くろう | 辛苦 | 名詞 | 両親は私を育てるのに苦労しました。 | りょうしんはわたしをそだてるのにくろうしました。 | 父母養育我很辛苦。
幸せ | しあわせ | 幸福 | 名詞 | 家族といる時が一番幸せです。 | かぞくといるときがいちばんしあわせです。 | 和家人在一起最幸福。
運 | うん | 運氣 | 名詞 | 今日は運がよかったです。 | きょうはうんがよかったです。 | 今天運氣很好。
記号 | きごう | 符號 | 名詞 | 地図の記号の意味を調べます。 | ちずのきごうのいみをしらべます。 | 查地圖符號的意思。
線 | せん | 線 | 名詞 | 大切なところに赤い線を引きます。 | たいせつなところにあかいせんをひきます。 | 在重要的地方畫紅線。
例 | れい | 例子 | 名詞 | 例を挙げて説明します。 | れいをあげてせつめいします。 | 舉例說明。

# --- い形容詞 ---
詳しい | くわしい | 詳細的；熟悉的 | 形容詞（い形） | 彼は日本の歴史に詳しいです。 | かれはにほんのれきしにくわしいです。 | 他很熟悉日本歷史。
偉い | えらい | 了不起的 | 形容詞（い形） | 毎日運動して偉いですね。 | まいにちうんどうしてえらいですね。 | 每天運動真了不起。
ずるい | ずるい | 狡猾的；不公平的 | 形容詞（い形） | 一人だけ先に食べるのはずるいです。 | ひとりだけさきにたべるのはずるいです。 | 只有一個人先吃太狡猾了。
蒸し暑い | むしあつい | 悶熱的 | 形容詞（い形） | 台湾の夏は蒸し暑いです。 | たいわんのなつはむしあついです。 | 台灣的夏天很悶熱。
ありがたい | ありがたい | 感激的 | 形容詞（い形） | 手伝ってもらってありがたいです。 | てつだってもらってありがたいです。 | 有人幫忙很感激。
くさい | くさい | 臭的 | 形容詞（い形） | ごみがくさいので早く捨てます。 | ごみがくさいのではやくすてます。 | 垃圾很臭趕快丟。
賢い | かしこい | 聰明的 | 形容詞（い形） | あの子はとても賢いです。 | あのこはとてもかしこいです。 | 那個孩子非常聰明。

# --- な形容詞 ---
正直 | しょうじき | 誠實的 | 形容動詞（な形） | 彼はとても正直な人です。 | かれはとてもしょうじきなひとです。 | 他是個非常誠實的人。
素直 | すなお | 坦率的；聽話的 | 形容動詞（な形） | 子供は素直に謝りました。 | こどもはすなおにあやまりました。 | 孩子坦率地道歉了。
冷静 | れいせい | 冷靜的 | 形容動詞（な形） | 困った時こそ冷静になります。 | こまったときこそれいせいになります。 | 越是為難的時候越要冷靜。
快適 | かいてき | 舒適的 | 形容動詞（な形） | 新しい部屋はとても快適です。 | あたらしいへやはとてもかいてきです。 | 新房間非常舒適。
意外 | いがい | 意外的 | 形容動詞（な形） | 意外な結果でした。 | いがいなけっかでした。 | 是意外的結果。
当然 | とうぜん | 理所當然的 | 形容動詞（な形） | 約束を守るのは当然です。 | やくそくをまもるのはとうぜんです。 | 遵守約定是理所當然的。
素敵 | すてき | 極好的；漂亮的 | 形容動詞（な形） | 素敵なプレゼントをありがとう。 | すてきなプレゼントをありがとう。 | 謝謝你的好禮物。
立派 | りっぱ | 出色的；氣派的 | 形容動詞（な形） | 立派な建物ですね。 | りっぱなたてものですね。 | 好氣派的建築。
貧乏 | びんぼう | 貧窮的 | 形容動詞（な形） | 学生の頃は貧乏でした。 | がくせいのころはびんぼうでした。 | 學生時代很窮。
平気 | へいき | 不在乎的；沒事的 | 形容動詞（な形） | 少し寒いくらいは平気です。 | すこしさむいくらいはへいきです。 | 有點冷還好，沒關係。

# --- 副詞・接續 ---
それに対して | それにたいして | 相對地 | 接續詞 | 兄は静かです。それに対して弟はよく話します。 | あにはしずかです。それにたいしておとうとはよくはなします。 | 哥哥很安靜，相對地弟弟很愛講話。
そこで | そこで | 於是 | 接續詞 | 道が混んでいました。そこで電車で行きました。 | みちがこんでいました。そこででんしゃでいきました。 | 路上塞車，於是改搭電車去。
