# JLPT N1 單字（起始題庫，之後可增補）
# 格式： 漢字 | 假名 | 中文釋義 | 詞性 | 例句 | 例句假名 | 例句中譯

意図 | いと | 意圖 | 名詞 | 発言の意図が分かりません。 | はつげんのいとがわかりません。 | 不明白發言的意圖。
統合 | とうごう | 整合、合併 | 名詞 | 二つの部署を統合します。 | ふたつのぶしょをとうごうします。 | 整合兩個部門。
撤退 | てったい | 撤退 | 名詞 | 海外市場から撤退しました。 | かいがいしじょうからてったいしました。 | 從海外市場撤退了。
参入 | さんにゅう | 加入（市場） | 名詞 | 新規参入が相次いでいます。 | しんきさんにゅうがあいついでいます。 | 新加入者接連不斷。

# --- 情緒・人間関係 ---
畏敬 | いけい | 敬畏 | 名詞 | 自然に畏敬の念を抱きます。 | しぜんにいけいのねんをいだきます。 | 對自然懷抱敬畏之心。
憧憬 | しょうけい | 憧憬 | 名詞 | 都会への憧憬がありました。 | とかいへのしょうけいがありました。 | 曾對都市懷有憧憬。
嫉妬 | しっと | 嫉妒 | 名詞 | 嫉妬心を抑えられませんでした。 | しっとしんをおさえられませんでした。 | 壓抑不住嫉妒心。
軽蔑 | けいべつ | 輕蔑 | 名詞 | 軽蔑の眼差しを向けられました。 | けいべつのまなざしをむけられました。 | 被投以輕蔑的眼神。
侮辱 | ぶじょく | 侮辱 | 名詞 | それは侮辱にあたります。 | それはぶじょくにあたります。 | 那構成侮辱。
配慮不足 | はいりょぶそく | 考慮不周 | 名詞 | 配慮不足をお詫びします。 | はいりょぶそくをおわびします。 | 為考慮不周致歉。
敬意 | けいい | 敬意 | 名詞 | 深い敬意を表します。 | ふかいけいいをひょうします。 | 表達深深的敬意。
謙虚 | けんきょ | 謙虛 | 形容動詞（な形） | 成功しても謙虚であるべきです。 | せいこうしてもけんきょであるべきです。 | 就算成功也該謙虛。
傲慢 | ごうまん | 傲慢 | 形容動詞（な形） | 傲慢な態度が反感を買いました。 | ごうまんなたいどがはんかんをかいました。 | 傲慢的態度招致反感。
誠実 | せいじつ | 誠實的 | 形容動詞（な形） | 誠実な対応に好感を持ちました。 | せいじつなたいおうにこうかんをもちました。 | 對誠實的應對有好感。
率直 | そっちょく | 坦率的 | 形容動詞（な形） | 率直な意見をお聞かせください。 | そっちょくないけんをおきかせください。 | 請坦率地說出意見。
懐疑的 | かいぎてき | 懷疑的 | 形容動詞（な形） | その説には懐疑的です。 | そのせつにはかいぎてきです。 | 對那個說法持懷疑態度。
楽観的 | らっかんてき | 樂觀的 | 形容動詞（な形） | 見通しは楽観的ではありません。 | みとおしはらっかんてきではありません。 | 展望並不樂觀。
悲観的 | ひかんてき | 悲觀的 | 形容動詞（な形） | 悲観的になる必要はありません。 | ひかんてきになるひつようはありません。 | 沒必要變得悲觀。
情緒 | じょうちょ | 情緒、風情 | 名詞 | 下町の情緒が残っています。 | したまちのじょうちょがのこっています。 | 留有老街的風情。
感銘 | かんめい | 深受感動 | 名詞 | 話に深い感銘を受けました。 | はなしにふかいかんめいをうけました。 | 對那番話深受感動。

# --- 文化・芸術・言語 ---
風潮 | ふうちょう | 風潮 | 名詞 | 近年の風潮を反映しています。 | きんねんのふうちょうをはんえいしています。 | 反映了近年的風潮。
趣向 | しゅこう | 巧思、趣味 | 名詞 | 趣向を凝らした演出でした。 | しゅこうをこらしたえんしゅつでした。 | 是別出心裁的演出。
様式 | ようしき | 様式、風格 | 名詞 | 伝統的な建築様式です。 | でんとうてきなけんちくようしきです。 | 是傳統的建築樣式。
風土 | ふうど | 風土 | 名詞 | その土地の風土に合わせます。 | そのとちのふうどにあわせます。 | 配合當地的風土。
遺産 | いさん | 遺產 | 名詞 | 世界遺産に登録されました。 | せかいいさんにとうろくされました。 | 被登錄為世界遺產。
継承 | けいしょう | 繼承、傳承 | 名詞 | 技術の継承が課題です。 | ぎじゅつのけいしょうがかだいです。 | 技術傳承是課題。
語彙 | ごい | 語彙 | 名詞 | 語彙を増やす工夫をします。 | ごいをふやすくふうをします。 | 想辦法增加語彙。
語源 | ごげん | 語源 | 名詞 | この言葉の語源を調べました。 | このことばのごげんをしらべました。 | 查了這個詞的語源。
文脈 | ぶんみゃく | 上下文、脈絡 | 名詞 | 文脈から意味を判断します。 | ぶんみゃくからいみをはんだんします。 | 從上下文判斷意思。
比喩 | ひゆ | 比喻 | 名詞 | 比喩を使って説明しました。 | ひゆをつかってせつめいしました。 | 用比喻做了說明。
婉曲 | えんきょく | 委婉 | 形容動詞（な形） | 婉曲な言い方をしました。 | えんきょくないいかたをしました。 | 用了委婉的說法。
語弊 | ごへい | 語病 | 名詞 | 語弊があるかもしれません。 | ごへいがあるかもしれません。 | 這麼說可能有語病。


# ===== N1 單字補充 第三批 =====

# --- 科学・技術・環境 ---
観測 | かんそく | 觀測 | 名詞 | 気温を長期的に観測しています。 | きおんをちょうきてきにかんそくしています。 | 長期觀測氣溫。
計測 | けいそく | 測量 | 名詞 | 精密機器で計測します。 | せいみつききでけいそくします。 | 用精密儀器測量。
飽和 | ほうわ | 飽和 | 名詞 | 市場は既に飽和状態です。 | しじょうはすでにほうわじょうたいです。 | 市場已呈飽和狀態。
劣化 | れっか | 劣化 | 名詞 | 部品の劣化が進んでいます。 | ぶひんのれっかがすすんでいます。 | 零件劣化正在加劇。
耐性 | たいせい | 耐性、抗性 | 名詞 | 薬剤耐性が問題になっています。 | やくざいたいせいがもんだいになっています。 | 抗藥性成為問題。
稼働 | かどう | 運轉 | 名詞 | 工場は二十四時間稼働しています。 | こうじょうはにじゅうよじかんかどうしています。 | 工廠二十四小時運轉。
効率化 | こうりつか | 效率化 | 名詞 | 業務の効率化を図ります。 | ぎょうむのこうりつかをはかります。 | 謀求業務效率化。
自動化 | じどうか | 自動化 | 名詞 | 生産ラインを自動化しました。 | せいさんラインをじどうかしました。 | 把生產線自動化了。
制御 | せいぎょ | 控制 | 名詞 | 温度を自動で制御します。 | おんどをじどうでせいぎょします。 | 自動控制溫度。
仕様 | しよう | 規格、規範 | 名詞 | 仕様変更が発生しました。 | しようへんこうがはっせいしました。 | 發生了規格變更。
互換性 | ごかんせい | 相容性 | 名詞 | 旧機種との互換性があります。 | きゅうきしゅとのごかんせいがあります。 | 與舊機型相容。
持続可能 | じぞくかのう | 永續的 | 形容動詞（な形） | 持続可能な開発を目指します。 | じぞくかのうなかいはつをめざします。 | 以永續發展為目標。
再生可能 | さいせいかのう | 可再生的 | 形容動詞（な形） | 再生可能エネルギーを増やします。 | さいせいかのうエネルギーをふやします。 | 增加再生能源。
枯渇 | こかつ | 枯竭 | 名詞 | 資源の枯渇が懸念されます。 | しげんのこかつがけねんされます。 | 令人擔憂資源枯竭。
埋蔵 | まいぞう | 蘊藏 | 名詞 | 豊富な埋蔵量があります。 | ほうふなまいぞうりょうがあります。 | 有豐富的蘊藏量。
生息 | せいそく | 棲息 | 名詞 | この森に多くの鳥が生息します。 | このもりにおおくのとりがせいそくします。 | 這片森林棲息著許多鳥。

# --- 動詞（複合・漢語）---
突き詰める | つきつめる | 追根究柢 | 動詞 | 原因を突き詰めて考えます。 | げんいんをつきつめてかんがえます。 | 追根究柢地思考原因。
掘り下げる | ほりさげる | 深入探討 | 動詞 | テーマをもっと掘り下げます。 | テーマをもっとほりさげます。 | 更深入探討主題。
積み重ねる | つみかさねる | 累積 | 動詞 | 小さな努力を積み重ねます。 | ちいさなどりょくをつみかさねます。 | 累積微小的努力。
織り込む | おりこむ | 納入、考慮進去 | 動詞 | リスクを計画に織り込みます。 | リスクをけいかくにおりこみます。 | 把風險納入計畫。
打ち出す | うちだす | 提出、標榜 | 動詞 | 新しい方針を打ち出しました。 | あたらしいほうしんをうちだしました。 | 提出了新方針。
繰り上げる | くりあげる | 提前 | 動詞 | 出発を一日繰り上げます。 | しゅっぱつをいちにちくりあげます。 | 把出發提前一天。
繰り下げる | くりさげる | 延後 | 動詞 | 開始時刻を繰り下げました。 | かいしじこくをくりさげました。 | 把開始時間延後了。
切り替える | きりかえる | 切換 | 動詞 | 気持ちを切り替えます。 | きもちをきりかえます。 | 轉換心情。
組み込む | くみこむ | 編入、整合進 | 動詞 | 予算に組み込みました。 | よさんにくみこみました。 | 編入了預算。
言い渡す | いいわたす | 宣告 | 動詞 | 判決が言い渡されました。 | はんけつがいいわたされました。 | 宣判了。
取り締まる | とりしまる | 取締 | 動詞 | 違法駐車を取り締まります。 | いほうちゅうしゃをとりしまります。 | 取締違規停車。
見せかける | みせかける | 偽裝成 | 動詞 | 偶然に見せかけた事故でした。 | ぐうぜんにみせかけたじこでした。 | 是偽裝成意外的事故。
かき立てる | かきたてる | 激起 | 動詞 | 好奇心をかき立てられました。 | こうきしんをかきたてられました。 | 好奇心被激起了。
打ち明ける | うちあける | 坦白說出 | 動詞 | 悩みを打ち明けました。 | なやみをうちあけました。 | 坦白說出了煩惱。
取り繕う | とりつくろう | 掩飾 | 動詞 | 慌てて取り繕いました。 | あわててとりつくろいました。 | 慌忙掩飾過去。
言い逃れる | いいのがれる | 狡辯脫身 | 動詞 | 責任を言い逃れることはできません。 | せきにんをいいのがれることはできません。 | 無法用言語推卸責任。
持ち直す | もちなおす | 好轉 | 動詞 | 景気が持ち直してきました。 | けいきがもちなおしてきました。 | 景氣開始好轉。
立ち行く | たちゆく | 維持下去 | 動詞 | このままでは経営が立ち行きません。 | このままではけいえいがたちゆきません。 | 這樣下去經營維持不下去。
見合う | みあう | 相稱、相符 | 動詞 | 労力に見合う報酬が必要です。 | ろうりょくにみあうほうしゅうがひつようです。 | 需要與勞力相稱的報酬。
兼ね備える | かねそなえる | 兼具 | 動詞 | 知性と行動力を兼ね備えています。 | ちせいとこうどうりょくをかねそなえています。 | 兼具知性與行動力。
成し得る | なしうる | 能夠做到 | 動詞 | 一人では成し得ない仕事です。 | ひとりではなしえないしごとです。 | 是一個人做不到的工作。
問い直す | といなおす | 重新叩問 | 動詞 | 前提を問い直す必要があります。 | ぜんていをといなおすひつようがあります。 | 有必要重新檢視前提。
偏重する | へんちょうする | 偏重 | 動詞 | 結果を偏重しすぎです。 | けっかをへんちょうしすぎです。 | 太過偏重結果。
逸する | いっする | 錯失 | 動詞 | 好機を逸してしまいました。 | こうきをいっしてしまいました。 | 錯失了良機。
帰す | きす | 歸於 | 動詞 | 努力が水泡に帰しました。 | どりょくがすいほうにきしました。 | 努力化為泡影。
資する | しする | 有助於 | 動詞 | 地域発展に資する事業です。 | ちいきはってんにしするじぎょうです。 | 是有助於地方發展的事業。
擁する | ようする | 擁有、擁立 | 動詞 | 多くの人材を擁しています。 | おおくのじんざいをようしています。 | 擁有眾多人才。

# --- 慣用・四字熟語 ---
一石二鳥 | いっせきにちょう | 一石二鳥 | 名詞 | 運動と節約で一石二鳥です。 | うんどうとせつやくでいっせきにちょうです。 | 運動又省錢，一石二鳥。
臨機応変 | りんきおうへん | 隨機應變 | 名詞 | 臨機応変に対応してください。 | りんきおうへんにたいおうしてください。 | 請隨機應變地處理。
試行錯誤 | しこうさくご | 反覆試驗 | 名詞 | 試行錯誤を重ねて完成しました。 | しこうさくごをかさねてかんせいしました。 | 反覆試驗後完成了。
一目瞭然 | いちもくりょうぜん | 一目了然 | 名詞 | 図にすれば一目瞭然です。 | ずにすればいちもくりょうぜんです。 | 畫成圖就一目了然。
言語道断 | ごんごどうだん | 豈有此理 | 名詞 | そんな行為は言語道断です。 | そんなこういはごんごどうだんです。 | 那種行為簡直豈有此理。
朝令暮改 | ちょうれいぼかい | 朝令夕改 | 名詞 | 朝令暮改では現場が混乱します。 | ちょうれいぼかいではげんばがこんらんします。 | 朝令夕改會讓現場混亂。
自業自得 | じごうじとく | 自作自受 | 名詞 | 準備不足は自業自得です。 | じゅんびぶそくはじごうじとくです。 | 準備不足是自作自受。
半信半疑 | はんしんはんぎ | 半信半疑 | 名詞 | 半信半疑で試してみました。 | はんしんはんぎでためしてみました。 | 半信半疑地試了一下。
前代未聞 | ぜんだいみもん | 前所未聞 | 名詞 | 前代未聞の事態になりました。 | ぜんだいみもんのじたいになりました。 | 演變成前所未聞的事態。
優柔不断 | ゆうじゅうふだん | 優柔寡斷 | 名詞 | 優柔不断で決められません。 | ゆうじゅうふだんできめられません。 | 優柔寡斷做不了決定。
一挙両得 | いっきょりょうとく | 一舉兩得 | 名詞 | これなら一挙両得です。 | これならいっきょりょうとくです。 | 這樣的話一舉兩得。
日進月歩 | にっしんげっぽ | 日新月異 | 名詞 | 技術は日進月歩で進化します。 | ぎじゅつはにっしんげっぽでしんかします。 | 技術日新月異地演進。
以心伝心 | いしんでんしん | 心有靈犀 | 名詞 | 長年の相棒とは以心伝心です。 | ながねんのあいぼうとはいしんでんしんです。 | 和多年搭檔心有靈犀。

# --- 副詞・接續 ---
なおさら | なおさら | 更加 | 副詞 | 忙しいときはなおさら健康が大切です。 | いそがしいときはなおさらけんこうがたいせつです。 | 忙的時候更要注意健康。
いかに | いかに | 如何、多麼 | 副詞 | いかに困難かを説明します。 | いかにこんなんかをせつめいします。 | 說明有多麼困難。
まして | まして | 何況 | 副詞 | 大人でも難しい、まして子供には無理です。 | おとなでもむずかしい、ましてこどもにはむりです。 | 連大人都難，何況小孩。
ちなみに | ちなみに | 順帶一提 | 接續詞 | ちなみに費用は無料です。 | ちなみにひようはむりょうです。 | 順帶一提費用是免費的。
もっとも | もっとも | 不過、話雖如此 | 接續詞 | 便利です。もっとも値段は高いですが。 | べんりです。もっともねだんはたかいですが。 | 很方便。不過價格偏高就是了。
ゆえに | ゆえに | 因此（書面） | 接續詞 | 証拠がない。ゆえに認められない。 | しょうこがない。ゆえにみとめられない。 | 沒有證據，因此不被採信。


# ===== N1 單字補充 第四批（收尾）=====
措置 | そち | 措施 | 名詞 | 緊急の措置を取りました。 | きんきゅうのそちをとりました。 | 採取了緊急措施。
処置 | しょち | 處置 | 名詞 | 適切な処置が施されました。 | てきせつなしょちがほどこされました。 | 施行了適當的處置。
方策 | ほうさく | 對策、方案 | 名詞 | 有効な方策を模索します。 | ゆうこうなほうさくをもさくします。 | 摸索有效的方案。
施策 | しさく | 政策措施 | 名詞 | 新たな施策を発表しました。 | あらたなしさくをはっぴょうしました。 | 發表了新的政策措施。
布告 | ふこく | 布告、宣告 | 名詞 | 正式に布告されました。 | せいしきにふこくされました。 | 正式布告了。
勧告 | かんこく | 勸告 | 名詞 | 改善の勧告を受けました。 | かいぜんのかんこくをうけました。 | 收到了改善的勸告。
警鐘 | けいしょう | 警鐘 | 名詞 | 専門家が警鐘を鳴らしています。 | せんもんかがけいしょうをならしています。 | 專家正在敲響警鐘。
懸念 | けねん | 疑慮、擔憂 | 名詞 | 副作用への懸念が残ります。 | ふくさようへのけねんがのこります。 | 對副作用仍有疑慮。
危惧 | きぐ | 憂慮 | 名詞 | 人材流出を危惧しています。 | じんざいりゅうしゅつをきぐしています。 | 憂慮人才外流。
打開 | だかい | 打開（僵局） | 名詞 | 事態の打開を図ります。 | じたいのだかいをはかります。 | 設法打開局面。
突破 | とっぱ | 突破 | 名詞 | 目標を大きく突破しました。 | もくひょうをおおきくとっぱしました。 | 大幅突破了目標。
飛躍 | ひやく | 飛躍 | 名詞 | 技術が飛躍的に進歩しました。 | ぎじゅつがひやくてきにしんぽしました。 | 技術飛躍性地進步。
停滞 | ていたい | 停滯 | 名詞 | 交渉が停滞しています。 | こうしょうがていたいしています。 | 談判陷入停滯。
衰退 | すいたい | 衰退 | 名詞 | 産業の衰退が続いています。 | さんぎょうのすいたいがつづいています。 | 產業持續衰退。
隆盛 | りゅうせい | 興盛 | 名詞 | 当時は隆盛を極めました。 | とうじはりゅうせいをきわめました。 | 當時盛極一時。
変遷 | へんせん | 變遷 | 名詞 | 制度の変遷をたどります。 | せいどのへんせんをたどります。 | 追溯制度的變遷。
推移 | すいい | 推移、變化 | 名詞 | 数値の推移を見守ります。 | すうちのすいいをみまもります。 | 觀察數值的變化。
覆面 | ふくめん | 蒙面、匿名 | 名詞 | 覆面調査を実施しました。 | ふくめんちょうさをじっしました。 | 實施了匿名調查。
匿名 | とくめい | 匿名 | 名詞 | 匿名での回答も可能です。 | とくめいでのかいとうもかのうです。 | 也可以匿名回答。
黙認 | もくにん | 默許 | 名詞 | 長年黙認されてきました。 | ながねんもくにんされてきました。 | 長年被默許著。
容赦 | ようしゃ | 寬恕、留情 | 名詞 | 容赦なく指摘されました。 | ようしゃなくしてきされました。 | 被毫不留情地指出。
遠回し | とおまわし | 拐彎抹角 | 名詞 | 遠回しに断られました。 | とおまわしにことわられました。 | 被婉轉地拒絕了。
建設的 | けんせつてき | 建設性的 | 形容動詞（な形） | 建設的な議論をしましょう。 | けんせつてきなぎろんをしましょう。 | 我們來做建設性的討論吧。
包括的 | ほうかつてき | 全面的 | 形容動詞（な形） | 包括的な見直しが必要です。 | ほうかつてきなみなおしがひつようです。 | 需要全面的檢討。
抜本的 | ばっぽんてき | 根本性的 | 形容動詞（な形） | 抜本的な改革が求められます。 | ばっぽんてきなかいかくがもとめられます。 | 需要根本性的改革。
暫定的 | ざんていてき | 暫定的 | 形容動詞（な形） | 暫定的な措置にすぎません。 | ざんていてきなそちにすぎません。 | 只不過是暫定措施。
潜在的 | せんざいてき | 潛在的 | 形容動詞（な形） | 潜在的な需要があります。 | せんざいてきなじゅようがあります。 | 有潛在的需求。
顕在化 | けんざいか | 表面化 | 名詞 | 問題が顕在化しました。 | もんだいがけんざいかしました。 | 問題表面化了。
慢性的 | まんせいてき | 慢性的、長期的 | 形容動詞（な形） | 慢性的な人手不足です。 | まんせいてきなひとでぶそくです。 | 是長期性的人力不足。
致命的 | ちめいてき | 致命的 | 形容動詞（な形） | 致命的なミスではありません。 | ちめいてきなミスではありません。 | 不是致命的失誤。
前向き | まえむき | 積極正面的 | 形容動詞（な形） | 前向きに検討します。 | まえむきにけんとうします。 | 會積極地評估。
後ろ向き | うしろむき | 消極的 | 形容動詞（な形） | 後ろ向きな発言が目立ちます。 | うしろむきなはつげんがめだちます。 | 消極的發言很明顯。
不祥事 | ふしょうじ | 醜聞、不當事件 | 名詞 | 不祥事が発覚しました。 | ふしょうじがはっかくしました。 | 醜聞曝光了。
釈明 | しゃくめい | 辯解、說明 | 名詞 | 記者会見で釈明しました。 | きしゃかいけんでしゃくめいしました。 | 在記者會上做了說明。
弁明 | べんめい | 辯白 | 名詞 | 弁明の機会が与えられました。 | べんめいのきかいがあたえられました。 | 被給予辯白的機會。
追及 | ついきゅう | 追究 | 名詞 | 責任を追及されました。 | せきにんをついきゅうされました。 | 被追究責任。
糾弾 | きゅうだん | 譴責 | 名詞 | 世論から糾弾されました。 | よろんからきゅうだんされました。 | 被輿論譴責。
擁護 | ようご | 擁護、維護 | 名詞 | 人権を擁護する立場です。 | じんけんをようごするたちばです。 | 是維護人權的立場。
台頭 | たいとう | 抬頭、崛起 | 名詞 | 新勢力が台頭してきました。 | しんせいりょくがたいとうしてきました。 | 新勢力崛起了。
淘汰 | とうた | 淘汰 | 名詞 | 競争で淘汰されました。 | きょうそうでとうたされました。 | 在競爭中被淘汰。
拍車 | はくしゃ | 加速、推波助瀾 | 名詞 | 円安が拍車をかけました。 | えんやすがはくしゃをかけました。 | 日圓貶值推波助瀾。
如実 | にょじつ | 如實地 | 形容動詞（な形） | 数字が如実に物語っています。 | すうじがにょじつにものがたっています。 | 數字如實地說明了一切。
一目置く | いちもくおく | 另眼相看 | 動詞 | 皆が彼に一目置いています。 | みながかれにいちもくおいています。 | 大家都對他另眼相看。
歯が立たない | はがたたない | 完全不是對手 | 動詞 | 実力差があって歯が立ちません。 | じつりょくさがあってはがたちません。 | 實力有差距完全不是對手。
気が置けない | きがおけない | 不用客氣、無話不談 | 動詞 | 気が置けない友人です。 | きがおけないゆうじんです。 | 是無話不談的朋友。
