# JLPT N3 單字   格式： 漢字 | 假名 | 中文釋義 | 詞性 | 例句 | 例句假名 | 例句中譯

# --- 名詞 ---
影響 | えいきょう | 影響 | 名詞 | 天気は気分に影響します。 | てんきはきぶんにえいきょうします。 | 天氣會影響心情。
世代 | せだい | 世代 | 名詞 | 世代によって考え方が違います。 | せだいによってかんがえかたがちがいます。 | 不同世代想法不同。
年齢 | ねんれい | 年齡 | 名詞 | 年齢は関係ありません。 | ねんれいはかんけいありません。 | 年齡沒有關係。

# --- 名詞（人・性質）---
人物 | じんぶつ | 人物 | 名詞 | 歴史上の人物について調べます。 | れきしじょうのじんぶつについてしらべます。 | 研究歷史人物。
人間 | にんげん | 人類；人 | 名詞 | 人間は誰でも失敗します。 | にんげんはだれでもしっぱいします。 | 是人都會犯錯。
理想 | りそう | 理想 | 名詞 | 理想と現実は違います。 | りそうとげんじつはちがいます。 | 理想與現實不同。
現実 | げんじつ | 現實 | 名詞 | 現実を受け入れなければなりません。 | げんじつをうけいれなければなりません。 | 必須接受現實。
思い出 | おもいで | 回憶 | 名詞 | 子供の頃の思い出を話します。 | こどものころのおもいでをはなします。 | 聊小時候的回憶。
不安 | ふあん | 不安 | 名詞 | 一人で行くのは不安です。 | ひとりでいくのはふあんです。 | 一個人去感到不安。
恐怖 | きょうふ | 恐懼 | 名詞 | 高い所は恐怖を感じます。 | たかいところはきょうふをかんじます。 | 在高處會感到恐懼。
不満 | ふまん | 不滿 | 名詞 | 今の給料に不満があります。 | いまのきゅうりょうにふまんがあります。 | 對現在的薪水不滿。

# --- 名詞（生活・社会）---
目次 | もくじ | 目錄 | 名詞 | 本の目次で内容を確認します。 | ほんのもくじでないようをかくにんします。 | 從目錄確認書的內容。
記事 | きじ | 報導；文章 | 名詞 | 新聞でその記事を読みました。 | しんぶんでそのきじをよみました。 | 在報上讀了那篇報導。
看板 | かんばん | 招牌 | 名詞 | 大きい看板が目印です。 | おおきいかんばんがめじるしです。 | 大招牌是路標。
案内所 | あんないじょ | 服務中心 | 名詞 | 駅の案内所で地図をもらいました。 | えきのあんないじょでちずをもらいました。 | 在車站服務中心拿了地圖。
役所 | やくしょ | 政府機關 | 名詞 | 引っ越したら役所で手続きをします。 | ひっこしたらやくしょでてつづきをします。 | 搬家後要去區公所辦手續。
書類 | しょるい | 文件 | 名詞 | 必要な書類をそろえます。 | ひつようなしょるいをそろえます。 | 備齊需要的文件。
用紙 | ようし | 表格用紙 | 名詞 | この用紙に名前と住所を書きます。 | このようしになまえとじゅうしょをかきます。 | 在這張表格填姓名地址。
署名 | しょめい | 簽名 | 名詞 | 最後に署名をお願いします。 | さいごにしょめいをおねがいします。 | 最後請簽名。
証明書 | しょうめいしょ | 證明書 | 名詞 | 学生証明書を提出します。 | がくせいしょうめいしょをていしゅつします。 | 提交在學證明。
命令 | めいれい | 命令 | 名詞 | 上司の命令に従います。 | じょうしのめいれいにしたがいます。 | 服從上司的命令。
制限 | せいげん | 限制 | 名詞 | 荷物の重さに制限があります。 | にもつのおもさにせいげんがあります。 | 行李重量有限制。
禁止 | きんし | 禁止 | 名詞 | ここは駐車禁止です。 | ここはちゅうしゃきんしです。 | 這裡禁止停車。
募集 | ぼしゅう | 招募 | 名詞 | アルバイトの募集を見ました。 | アルバイトのぼしゅうをみました。 | 看到了打工的徵人啟事。

# --- 動詞（和語）---
与える | あたえる | 給予 | 動詞 | 子供におやつを与えます。 | こどもにおやつをあたえます。 | 給孩子點心。
詰める | つめる | 塞入；縮短 | 動詞 | かばんに服を詰めます。 | かばんにふくをつめます。 | 把衣服塞進包包。
結ぶ | むすぶ | 綁；連結 | 動詞 | 靴のひもを結びます。 | くつのひもをむすびます。 | 綁鞋帶。
解く | とく | 解開；解答 | 動詞 | 難しい問題を解きました。 | むずかしいもんだいをときました。 | 解開了難題。
縛る | しばる | 綁；束縛 | 動詞 | 新聞をひもで縛って捨てます。 | しんぶんをひもでしばってすてます。 | 用繩子把報紙綁起來丟。
つなぐ | つなぐ | 連接 | 動詞 | パソコンをインターネットにつなぎます。 | パソコンをインターネットにつなぎます。 | 把電腦連上網路。
離す | はなす | 放開；隔開 | 動詞 | 危ないので手を離さないでください。 | あぶないのでてをはなさないでください。 | 很危險，手不要放開。
追いつく | おいつく | 趕上 | 動詞 | 走って前の人に追いつきました。 | はしってまえのひとにおいつきました。 | 跑步追上前面的人。
追い越す | おいこす | 超越 | 動詞 | 前の車を追い越しました。 | まえのくるまをおいこしました。 | 超過了前面的車。
振り返る | ふりかえる | 回頭；回顧 | 動詞 | 名前を呼ばれて振り返りました。 | なまえをよばれてふりかえりました。 | 被叫名字就回過頭。
見つめる | みつめる | 凝視 | 動詞 | 彼は黙って窓の外を見つめていました。 | かれはだまってまどのそとをみつめていました。 | 他默默地凝視著窗外。
微笑む | ほほえむ | 微笑 | 動詞 | 赤ちゃんが微笑みました。 | あかちゃんがほほえみました。 | 嬰兒笑了。
うなずく | うなずく | 點頭 | 動詞 | 彼は黙ってうなずきました。 | かれはだまってうなずきました。 | 他默默地點了點頭。
稼ぐ | かせぐ | 賺錢 | 動詞 | 夏休みにアルバイトでお金を稼ぎます。 | なつやすみにアルバイトでおかねをかせぎます。 | 暑假打工賺錢。
暮らす | くらす | 生活 | 動詞 | 家族四人で暮らしています。 | かぞくよにんでくらしています。 | 一家四口生活在一起。
焦る | あせる | 著急 | 動詞 | 時間がなくて焦りました。 | じかんがなくてあせりました。 | 沒時間了很著急。
怠ける | なまける | 偷懶 | 動詞 | 怠けずに毎日練習します。 | なまけずにまいにちれんしゅうします。 | 不偷懶每天練習。
味わう | あじわう | 品嚐；體會 | 動詞 | 旅行で地元の料理を味わいます。 | りょこうでじもとのりょうりをあじわいます。 | 旅行時品嚐當地料理。
楽しむ | たのしむ | 享受 | 動詞 | 週末は音楽を聴いて楽しみます。 | しゅうまつはおんがくをきいてたのしみます。 | 週末聽音樂享受時光。
慎む | つつしむ | 節制；謹慎 | 動詞 | 医者に言われて酒を慎んでいます。 | いしゃにいわれてさけをつつしんでいます。 | 醫生交代所以節制喝酒。
飛び出す | とびだす | 衝出；跳出 | 動詞 | 子供が道に飛び出して危なかったです。 | こどもがみちにとびだしてあぶなかったです。 | 小孩衝到路上很危險。
飽きる | あきる | 膩；厭倦 | 動詞 | 毎日同じ料理で飽きました。 | まいにちおなじりょうりであきました。 | 每天吃一樣的菜膩了。

# --- い形容詞 ---
鋭い | するどい | 銳利的；敏銳的 | 形容詞（い形） | この包丁はよく切れて鋭いです。 | このほうちょうはよくきれてするどいです。 | 這把菜刀很鋒利。
鈍い | にぶい | 遲鈍的；不鋒利的 | 形容詞（い形） | 寝不足で頭の働きが鈍いです。 | ねぶそくであたまのはたらきがにぶいです。 | 睡眠不足腦袋很遲鈍。
幼い | おさない | 年幼的 | 形容詞（い形） | 幼い頃、この町に住んでいました。 | おさないころ、このまちにすんでいました。 | 小時候住在這個城鎮。
力強い | ちからづよい | 強而有力的 | 形容詞（い形） | 力強い言葉に励まされました。 | ちからづよいことばにはげまされました。 | 被有力的話語鼓舞了。
心細い | こころぼそい | 心裡不安的 | 形容詞（い形） | 知らない町で一人は心細いです。 | しらないまちでひとりはこころぼそいです。 | 在陌生的城鎮一個人很不安。
とんでもない | とんでもない | 豈有此理的；不得了的 | 形容詞（い形） | 遅刻するなんてとんでもないです。 | ちこくするなんてとんでもないです。 | 遲到什麼的太不像話了。
そそっかしい | そそっかしい | 冒失的 | 形容詞（い形） | そそっかしくてよく物をなくします。 | そそっかしくてよくものをなくします。 | 冒冒失失常弄丟東西。
興味深い | きょうみぶかい | 耐人尋味的 | 形容詞（い形） | 興味深い話を聞きました。 | きょうみぶかいはなしをききました。 | 聽到了很有意思的事。
若々しい | わかわかしい | 朝氣蓬勃的 | 形容詞（い形） | 祖母はいつも若々しいです。 | そぼはいつもわかわかしいです。 | 祖母總是很有活力。

# --- な形容詞 ---
微妙 | びみょう | 微妙的 | 形容動詞（な形） | 二つの色は微妙に違います。 | ふたつのいろはびみょうにちがいます。 | 兩個顏色有微妙的差異。
奇妙 | きみょう | 奇妙的 | 形容動詞（な形） | 奇妙な音が聞こえます。 | きみょうなおとがきこえます。 | 聽到奇怪的聲音。
独特 | どくとく | 獨特的 | 形容動詞（な形） | この料理は独特な味がします。 | このりょうりはどくとくなあじがします。 | 這道菜有獨特的味道。
特殊 | とくしゅ | 特殊的 | 形容動詞（な形） | これは特殊な場合です。 | これはとくしゅなばあいです。 | 這是特殊情況。
効率的 | こうりつてき | 有效率的 | 形容動詞（な形） | 効率的に仕事を進めます。 | こうりつてきにしごとをすすめます。 | 有效率地推進工作。
現実的 | げんじつてき | 務實的 | 形容動詞（な形） | もっと現実的に考えましょう。 | もっとげんじつてきにかんがえましょう。 | 想得實際一點吧。
合理的 | ごうりてき | 合理的 | 形容動詞（な形） | 合理的な説明が必要です。 | ごうりてきなせつめいがひつようです。 | 需要合理的說明。
客観的 | きゃっかんてき | 客觀的 | 形容動詞（な形） | 客観的な意見を聞きたいです。 | きゃっかんてきないけんをききたいです。 | 想聽聽客觀的意見。
公平 | こうへい | 公平的 | 形容動詞（な形） | 先生は生徒に公平です。 | せんせいはせいとにこうへいです。 | 老師對學生很公平。
平等 | びょうどう | 平等的 | 形容動詞（な形） | みんなに平等にチャンスがあります。 | みんなにびょうどうにチャンスがあります。 | 大家都有平等的機會。
良好 | りょうこう | 良好的 | 形容動詞（な形） | 手術の後の経過は良好です。 | しゅじゅつのあとのけいかはりょうこうです。 | 術後恢復良好。
最適 | さいてき | 最適合的 | 形容動詞（な形） | 春は旅行に最適な季節です。 | はるはりょこうにさいてきなきせつです。 | 春天是最適合旅行的季節。
有効 | ゆうこう | 有效的 | 形容動詞（な形） | このチケットは今日だけ有効です。 | このチケットはきょうだけゆうこうです。 | 這張票只有今天有效。

# --- 副詞 ---
一気に | いっきに | 一口氣 | 副詞 | 階段を一気に上りました。 | かいだんをいっきにのぼりました。 | 一口氣爬上樓梯。
突然 | とつぜん | 突然 | 副詞 | 突然、電気が消えました。 | とつぜん、でんきがきえました。 | 突然停電了。
いつのまにか | いつのまにか | 不知不覺 | 副詞 | いつのまにか外が暗くなっていました。 | いつのまにかそとがくらくなっていました。 | 不知不覺外面天黑了。
案の定 | あんのじょう | 果然不出所料 | 副詞 | 案の定、道が混んでいました。 | あんのじょう、みちがこんでいました。 | 果然不出所料，路上塞車。
今のところ | いまのところ | 目前為止 | 副詞 | 今のところ問題はありません。 | いまのところもんだいはありません。 | 目前沒有問題。
なんとなく | なんとなく | 總覺得 | 副詞 | なんとなく嫌な予感がします。 | なんとなくいやなよかんがします。 | 總覺得有不好的預感。


# ===== N3 高頻補充 第三批 =====

# --- 動詞・する動詞 ---
把握する | はあくする | 掌握（狀況） | 動詞 | まず現状を把握します。 | まずげんじょうをはあくします。 | 先掌握現況。
実現する | じつげんする | 實現 | 動詞 | 夢がやっと実現しました。 | ゆめがやっとじつげんしました。 | 夢想終於實現了。
中止する | ちゅうしする | 中止 | 動詞 | 雨で試合が中止になりました。 | あめでしあいがちゅうしになりました。 | 因下雨比賽取消了。
延期する | えんきする | 延期 | 動詞 | 出発を一日延期しました。 | しゅっぱつをいちにちえんきしました。 | 把出發延後了一天。
成立する | せいりつする | 成立；達成 | 動詞 | 二社の契約が成立しました。 | にしゃのけいやくがせいりつしました。 | 兩家公司的合約達成了。
継続する | けいぞくする | 持續 | 動詞 | 少しずつでも継続することが大事です。 | すこしずつでもけいぞくすることがだいじです。 | 就算一點一點也要持續下去。
省略する | しょうりゃくする | 省略 | 動詞 | 時間がないので説明を省略します。 | じかんがないのでせつめいをしょうりゃくします。 | 沒時間所以省略說明。

# --- 名詞 ---
特色 | とくしょく | 特色 | 名詞 | この学校の特色は少人数教育です。 | このがっこうのとくしょくはしょうにんずうきょういくです。 | 這所學校的特色是小班教學。
効き目 | ききめ | 效力 | 名詞 | この薬は効き目が早いです。 | このくすりはききめがはやいです。 | 這個藥見效很快。
手間 | てま | 工夫；費事 | 名詞 | この料理は手間がかかります。 | このりょうりはてまがかかります。 | 這道菜很費工。
共通 | きょうつう | 共通 | 名詞 | 二人には共通の趣味があります。 | ふたりにはきょうつうのしゅみがあります。 | 兩人有共同的興趣。
以降 | いこう | 之後 | 名詞 | 三時以降なら空いています。 | さんじいこうならあいています。 | 三點以後有空。
当日 | とうじつ | 當天 | 名詞 | 当日は九時に集合してください。 | とうじつはくじにしゅうごうしてください。 | 當天請九點集合。
翌日 | よくじつ | 隔天 | 名詞 | 到着した翌日から仕事です。 | とうちゃくしたよくじつからしごとです。 | 抵達的隔天就開始工作。
最終的 | さいしゅうてき | 最終的 | 形容動詞（な形） | 最終的な決定は来週です。 | さいしゅうてきなけっていはらいしゅうです。 | 最終決定在下週。

# --- 副詞・接續 ---
どうしても | どうしても | 無論如何 | 副詞 | どうしても今日中に終わらせたいです。 | どうしてもきょうじゅうにおわらせたいです。 | 無論如何想在今天做完。
相変わらず | あいかわらず | 一如往常 | 副詞 | 相変わらず忙しくしています。 | あいかわらずいそがしくしています。 | 一如往常地忙碌。
というのは | というのは | 這是因為 | 接續詞 | 今日は休みます。というのは熱があるからです。 | きょうはやすみます。というのはねつがあるからです。 | 今天請假，因為發燒了。

# ===== N3 高頻補充 第四批（收尾）=====
実際 | じっさい | 實際 | 名詞 | 話と実際はだいぶ違いました。 | はなしとじっさいはだいぶちがいました。 | 說法和實際差很多。
普段 | ふだん | 平常 | 名詞 | 普段は自転車で通勤しています。 | ふだんはじてんしゃでつうきんしています。 | 平常騎腳踏車通勤。
主張 | しゅちょう | 主張 | 名詞 | 自分の主張をはっきり言います。 | じぶんのしゅちょうをはっきりいいます。 | 清楚說出自己的主張。
自慢 | じまん | 炫耀；自豪 | 名詞 | 彼はいつも成績を自慢します。 | かれはいつもせいせきをじまんします。 | 他老是炫耀成績。
夢中 | むちゅう | 入迷；忘我 | 名詞 | ゲームに夢中で時間を忘れました。 | ゲームにむちゅうでじかんをわすれました。 | 沉迷遊戲忘了時間。
一部 | いちぶ | 一部分 | 名詞 | 商品の一部に傷がありました。 | しょうひんのいちぶにきずがありました。 | 商品有一部分有損傷。
筆記用具 | ひっきようぐ | 書寫用具 | 名詞 | 試験には筆記用具を持ってきてください。 | しけんにはひっきようぐをもってきてください。 | 考試請帶書寫用具。
確率 | かくりつ | 機率 | 名詞 | 明日、雨が降る確率は高いです。 | あした、あめがふるかくりつはたかいです。 | 明天下雨的機率很高。
不便 | ふべん | 不方便 | 形容動詞（な形） | 駅から遠くて不便です。 | えきからとおくてふべんです。 | 離車站遠很不方便。
偉大 | いだい | 偉大的 | 形容動詞（な形） | 彼は偉大な科学者です。 | かれはいだいなかがくしゃです。 | 他是偉大的科學家。
互い | たがい | 彼此 | 名詞 | 互いに助け合うことが大切です。 | たがいにたすけあうことがたいせつです。 | 互相幫助很重要。
文字通り | もじどおり | 字面上；名副其實 | 副詞 | 文字通り、朝から晩まで働きました。 | もじどおり、あさからばんまではたらきました。 | 名副其實從早忙到晚。
確実に | かくじつに | 確實地 | 副詞 | 練習すれば確実に上達します。 | れんしゅうすればかくじつにじょうたつします。 | 練習就一定會進步。
今日中 | きょうじゅう | 今天之內 | 名詞 | この仕事は今日中に終わらせます。 | このしごとはきょうじゅうにおわらせます。 | 這份工作要在今天內做完。
